lon,lat,seafloor_age_Ma,source
-39.1,10.0,13.547599792480469,EarthByte_Seton_2020_GeeK2007
-39.0,10.0,14.1830472946167,EarthByte_Seton_2020_GeeK2007
-38.9,10.0,14.818482398986816,EarthByte_Seton_2020_GeeK2007
-38.8,10.0,15.45386791229248,EarthByte_Seton_2020_GeeK2007
-38.7,10.0,16.089427947998047,EarthByte_Seton_2020_GeeK2007
-38.6,10.0,16.72496223449707,EarthByte_Seton_2020_GeeK2007
-38.5,10.0,17.360530853271484,EarthByte_Seton_2020_GeeK2007
-38.4,10.0,17.996105194091797,EarthByte_Seton_2020_GeeK2007
-38.3,10.0,18.631643295288086,EarthByte_Seton_2020_GeeK2007
-38.2,10.0,19.26720428466797,EarthByte_Seton_2020_GeeK2007
-38.1,10.0,19.90445899963379,EarthByte_Seton_2020_GeeK2007
-38.0,10.0,20.525497436523438,EarthByte_Seton_2020_GeeK2007
-37.9,10.0,21.139118194580078,EarthByte_Seton_2020_GeeK2007
-37.8,10.0,21.75214385986328,EarthByte_Seton_2020_GeeK2007
-37.7,10.0,22.36529541015625,EarthByte_Seton_2020_GeeK2007
-37.6,10.0,22.978525161743164,EarthByte_Seton_2020_GeeK2007
-37.5,10.0,23.591876983642578,EarthByte_Seton_2020_GeeK2007
-37.4,10.0,24.205198287963867,EarthByte_Seton_2020_GeeK2007
-37.3,10.0,24.818740844726562,EarthByte_Seton_2020_GeeK2007
-37.2,10.0,25.43228530883789,EarthByte_Seton_2020_GeeK2007
-37.1,10.0,26.04583740234375,EarthByte_Seton_2020_GeeK2007
-37.0,10.0,26.659622192382812,EarthByte_Seton_2020_GeeK2007
-36.9,10.0,27.273212432861328,EarthByte_Seton_2020_GeeK2007
-36.8,10.0,27.887027740478516,EarthByte_Seton_2020_GeeK2007
-36.7,10.0,28.500940322875977,EarthByte_Seton_2020_GeeK2007
-36.6,10.0,29.114850997924805,EarthByte_Seton_2020_GeeK2007
-36.5,10.0,29.728809356689453,EarthByte_Seton_2020_GeeK2007
-36.4,10.0,30.34291648864746,EarthByte_Seton_2020_GeeK2007
-36.3,10.0,30.956804275512695,EarthByte_Seton_2020_GeeK2007
-36.2,10.0,31.56936264038086,EarthByte_Seton_2020_GeeK2007
-36.1,10.0,32.18523025512695,EarthByte_Seton_2020_GeeK2007
-36.0,10.0,32.7969970703125,EarthByte_Seton_2020_GeeK2007
-35.9,10.0,33.37784194946289,EarthByte_Seton_2020_GeeK2007
-35.8,10.0,33.92197799682617,EarthByte_Seton_2020_GeeK2007
-35.7,10.0,34.465946197509766,EarthByte_Seton_2020_GeeK2007
-35.6,10.0,41.20518493652344,EarthByte_Seton_2020_GeeK2007
-35.5,10.0,41.65691375732422,EarthByte_Seton_2020_GeeK2007
-35.4,10.0,41.58839416503906,EarthByte_Seton_2020_GeeK2007
-35.3,10.0,42.603031158447266,EarthByte_Seton_2020_GeeK2007
-35.2,10.0,43.29863739013672,EarthByte_Seton_2020_GeeK2007
-35.1,10.0,43.213592529296875,EarthByte_Seton_2020_GeeK2007
-35.0,10.0,42.62285614013672,EarthByte_Seton_2020_GeeK2007
-34.9,10.0,42.380855560302734,EarthByte_Seton_2020_GeeK2007
-34.8,10.0,41.99129867553711,EarthByte_Seton_2020_GeeK2007
-34.7,10.0,40.475677490234375,EarthByte_Seton_2020_GeeK2007
-34.6,10.0,43.728153228759766,EarthByte_Seton_2020_GeeK2007
-34.5,10.0,44.85377883911133,EarthByte_Seton_2020_GeeK2007
-34.4,10.0,45.710357666015625,EarthByte_Seton_2020_GeeK2007
-34.3,10.0,46.369598388671875,EarthByte_Seton_2020_GeeK2007
-34.2,10.0,48.26112365722656,EarthByte_Seton_2020_GeeK2007
-34.1,10.0,48.421180725097656,EarthByte_Seton_2020_GeeK2007
-34.0,10.0,48.85536575317383,EarthByte_Seton_2020_GeeK2007
-33.9,10.0,49.77919006347656,EarthByte_Seton_2020_GeeK2007
