"lon","lat","heat_flow_mW_m2","name","reference","id"
"-59.9667","15.0667","30","LSDA-135","Vacquier_VonHerzen_1964","R24-085052"
"-59.9667","15.0667","30","LSDA-135","Schoonmaker_Ladd_1984","R24-077926"
"-59.9667","15.0667","30","LSDA-135","Arnaiz-Rodriguez_Orihuela_2013","R24-003563"
"-59.994","15.2933","32.7","ANTI-06-13","Lucazeau_etal._2014","R24-060516"
"-58.4993","15.3221","75","ANTI-04-08","Lucazeau_etal._2014","R24-060500"
"-59.9823","15.41","31.6","ANTI-06-01","Lucazeau_etal._2014","R24-060510"
"-58.6683","15.4155","93.2","ANTI-C04-09","Lucazeau_etal._2014","R24-060519"
"-59.6188","15.4311","45.8","ANTI-05-09","Lucazeau_etal._2014","R24-060509"
"-59.4971","15.4456","46.2","ANTI-05-08","Lucazeau_etal._2014","R24-060508"
"-59.3454","15.5066","54","ANTI-05-07","Lucazeau_etal._2014","R24-060507"
"-58.68","15.515","60","C26-13D","Abbott_2008","R24-000662"
"-58.6807","15.5153","60","RC26-13D","Langseth_etal._1990","R24-053812"
"-58.755","15.5167","56","C26-14G","Abbott_2008","R24-000671"
"-58.7467","15.5167","106","C26-14F","Abbott_2008","R24-000670"
"-58.6883","15.5167","70","C26-13E","Abbott_2008","R24-000663"
"-58.7475","15.5172","106","RC26-14F","Langseth_etal._1990","R24-053821"
"-58.6895","15.5173","70","RC26-13E","Langseth_etal._1990","R24-053813"
"-58.7552","15.5178","56","RC26-14G","Langseth_etal._1990","R24-053822"
"-58.7117","15.5183","45","C26-14B","Abbott_2008","R24-000666"
"-58.69","15.5183","63","HF7L","Blackwell_Richards_2004","R24-018942"
"-58.6943","15.5184","63","HF7L","Foucher_etal._1990","R24-035520"
"-58.7125","15.5193","53","RC26-14B","Langseth_etal._1990","R24-053817"
"-58.7137","15.5197","81","RC26-13G","Langseth_etal._1990","R24-053815"
"-58.7283","15.52","76","C26-14E","Abbott_2008","R24-000669"
"-58.7133","15.52","71","C26-14C","Abbott_2008","R24-000667"
"-58.7142","15.5212","71","RC26-14C","Langseth_etal._1990","R24-053818"
"-58.715","15.5217","83","C26-14D","Abbott_2008","R24-000668"
"-58.7017","15.5217","76","C26-13F","Abbott_2008","R24-000664"
"-58.7028","15.522","76","RC26-13F","Langseth_etal._1990","R24-053814"
"-58.7162","15.5228","83","RC26-14D","Langseth_etal._1990","R24-053819"
"-58.7293","15.523","77","RC26-14E","Langseth_etal._1990","R24-053820"
"-58.72","15.5233","132","C26-14A","Abbott_2008","R24-000665"
"-58.7207","15.5245","132","RC26-14A","Langseth_etal._1990","R24-053816"
"-58.6617","15.525","125","C26-13C","Abbott_2008","R24-000661"
"-58.6627","15.5265","125","RC26-13C","Langseth_etal._1990","R24-053811"
"-58.72","15.5267","85","HF2A","Blackwell_Richards_2004","R24-018891"
"-58.6333","15.5267","59","C26-13B","Abbott_2008","R24-000660"
"-58.62","15.5267","51","C26-13A","Abbott_2008","R24-000659"
"-58.6197","15.5267","51","RC26-13A","Langseth_etal._1990","R24-053809"
"-58.6342","15.5268","59","RC26-13B","Langseth_etal._1990","R24-053810"
"-58.7283","15.5283","47","ODP671 B","Pribnow_etal._2000a","R24-073271"
"-58.7283","15.5283","82","ODP673 A","Pribnow_etal._2000a","R24-073273"
"-58.7283","15.5283","80","ODP948 C","Pribnow_etal._2000a","R24-073368"
"-58.7113","15.5283","76","HF2B","Foucher_etal._1990","R24-035494"
