lon,lat,chron,anomaly_end,quality,age_Ma,reference,doi,method,source
-46.73719999999999,15.624799999999999,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.309000000000005,15.625400000000003,C5Dn,y,1,17.277,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.8516,15.627000000000002,C5ACn,y,1,13.703,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.2507,15.630399999999998,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.0343,15.6449,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.75249999999998,15.657700000000002,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.30049999999999,15.6601,C5n.2n,o,1,10.949,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.105099999999986,15.661099999999994,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.7095,15.661299999999999,C4n.2n,o,1,8.072,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.79129999999999,15.661799999999998,C4n.1n,y,1,7.432,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.893699999999995,15.663099999999998,C3An.2n,o,1,6.567,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.01629999999999,15.6647,C3An.1n,y,1,5.894,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.9055,15.665,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.11860000000001,15.665900000000002,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.2494,15.6689,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.21969999999999,15.6696,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.3462,15.670400000000003,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.5526,15.6739,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.036399999999986,15.675600000000001,C3An.1n,y,1,5.894,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.74649999999998,15.677,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.5618,15.6779,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-36.02,15.680000000000001,C32n.2n,o,1,73.004,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.0434,15.681300000000002,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.10150000000001,15.6821,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.8757,15.682899999999998,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.2371,15.684200000000002,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.764799999999994,15.684799999999992,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.0983,15.690200000000003,C5En,y,1,18.281,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.287599999999976,15.6908,C5n.2n,o,1,10.949,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.584399999999995,15.6915,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.41809999999998,15.705199999999998,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.56049999999998,15.706200000000003,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.76259999999999,15.711,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.5652,15.714300000000001,C4An,o,1,9.025,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.1049,15.717299999999996,C5An.2n,o,1,12.401,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4954,15.7175,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.061799999999984,15.720299999999998,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-53.9951,15.7217,C25n,o,1,56.391,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.7585,15.726900000000002,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.423399999999994,15.729199999999999,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-35.6,15.73,C33n,y,1,73.619,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.31249999999998,15.740499999999994,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-41.6791,15.745700000000001,C13n,y,1,33.058,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.310999999999986,15.7476,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.559,15.747900000000001,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-52.2676,15.7485,C22n,o,1,49.714,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.7459,15.7498,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-37.85,15.75,C25n,o,1,56.391,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-36.53,15.75,C30n,o,1,67.61,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-36.0,15.75,C32n.2n,o,1,73.004,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
